flower_id,mother_name,Hindi Primary Name,Hindi Primary Transliteration,Hindi Alternate Name 1,Hindi Alternate Name 1 Transliteration,Telugu Primary Name,Telugu Primary Transliteration,Telugu Alternate Name 1,Telugu Alternate Name 1 Transliteration,Tamil Primary Name,Tamil Primary Transliteration,Tamil Alternate Name 1,Tamil Alternate Name 1 Transliteration,Kannada Primary Name,Kannada Primary Transliteration,Kannada Alternate Name 1,Kannada Alternate Name 1 Transliteration,Malayalam Primary Name,Malayalam Primary Transliteration,Malayalam Alternate Name 1,Malayalam Alternate Name 1 Transliteration,Marathi Primary Name,Marathi Primary Transliteration,Marathi Alternate Name 1,Marathi Alternate Name 1 Transliteration,Gujarati Primary Name,Gujarati Primary Transliteration,Gujarati Alternate Name 1,Gujarati Alternate Name 1 Transliteration,Bengali Primary Name,Bengali Primary Transliteration,Bengali Alternate Name 1,Bengali Alternate Name 1 Transliteration,Odia Primary Name,Odia Primary Transliteration,Odia Alternate Name 1,Odia Alternate Name 1 Transliteration,botanical_name,english_common_name,french_common_name
649,Spiritual atmosphere,नीम,Neem,मार्गोज़ा,Margosa,వేప,Vepa,వేప చెట్టు,Vepa Chettu,வேம்பு,Vembu,வேப்ப மரம்,Veppa Maram,ಬೇವು,Bevu,ಒಳ್ಳೆ ಬೇವು,Olle Bevu,വേപ്പ്,Veepu,ആര്യവേപ്പ്,Aryaveepu,कडूुलिंब,Kadulimb,लिंब,Limb,લીમડો,Limdo,મોટો લીમડો,Motho Limdo,নিম,Neem,নিম গাছ,Neem Gachh,ନିମ୍ବ,Nimba,ନିମ୍ବ ଗଛ,Nimba Gachha,Azadirachta indica A. Juss.,Neem; Margosa,Margousier; Neem
007,Divine love,अनार,Anar,दाड़िम,Dadim,దానిమ్మ,Danimma,దాడిమ,Dadima,மாதுளை,Madhulai,மாதுளம்பழம்,Madhulambazham,ದಾಳಿಂಬೆ,Dalimbe,ದಾಳಿಂಬ,Dalimba,മാതളം,Mathalam,മാതളനാരകം,Mathalanarakam,डाळिंब,Dalimb,डाळिंबाचे झाड,Dalimbache Zhad,દાડમ,Dadam,દાડમડી,Dadamdi,ডালিম,Dalim,বেদানা,Bedana,ଦାଳିମ୍ବ,Dalimba,ଦାଳିମ୍ବ ଗଛ,Dalimba Gachha,Punica granatum L.,Pomegranate,Grenadier; Grenade
048,New creation,रजनीगंधा,Rajanigandha,गुल-इ-शब्बो,Gul-e-Shabbo,సంపంగి,Sampangi,రజనిగంధ,Rajanigandha,சம்பங்கி,Sampangi,நிலச்சம்பங்கி,Nilachampangi,ಸುಗಂಧರಾಜ,Sugandharaja,ಸುಗಂಧ ರಾಜ,Sugandha Raja,രജനീഗന്ധ,Rajaneegandha,രജനീഗന്ധപ്പൂവ്,Rajaneegandhappoovu,गुलछडी,Gulchhadi,रजनीगंधा,Rajnigandha,ગુલછડી,Gulchhadi,રજનીગંધા,Rajnigandha,রজনীগন্ধা,Rajanigandha,রজনীগন্ধা ফুল,Rajanigandha Phool,ରଜନୀଗନ୍ଧା,Rajanigandha,ରଜନୀଗନ୍ଧା ଫୁଲ,Rajanigandha Phula,Polianthes tuberosa L.,Tuberose,Tubéreuse
494,Realisation,गुलमोहर,Gulmohar,राजगोखुर,Rajgokhur,ఎర్ర తురాయి,Erra Turayi,సువర్ణ తురాయి,Suvarna Turayi,செம்மயிற்கொன்றை,Semmayirkondrai,குல்மோஹர்,Gulmohar,ಗುಲ್ಮೊಹರ್,Gulmohar,ಕೆಂಪು ತುರಾಯಿ,Kempu Turayi,കാട്ടുതീ,Kaattuthee,ഗുൽമോഹർ,Gulmohar,गुलमोहर,Gulmohar,राजगोखुर,Rajgokhur,ગુલમોહર,Gulmohar,રાજગોખર,Rajgokhar,কৃষ্ণচূড়া,Krishnachura,গুলমোহর,Gulmohar,କୃଷ୍ଣଚୂଡ଼ା,Krishnachuda,ଗୁଲମୋହର,Gulmohar,Delonix regia (Bojer) Raf.,Royal poinciana; Flamboyant,Flamboyant; Flamboyant rouge
397,Plasticity,गेंदा,Genda,गेंदा फूल,Genda Phool,బంతి పువ్వు,Banti Puvvu,బంతి,Banti,சாமந்தி,Samandhi,துருக்க சாமந்தி,Thurukka Samandhi,ಚಂಡುಹೂವು,Chenduhuavu,ಚಂಡು ಹೂ,Chendu Hoo,ചെണ്ടുമല്ലി,Chendumalli,ജമന്തി,Jamanthi,झेंडू,Zendu,पिवळा झेंडू,Pivla Zendu,ગલગોટો,Galgoto,પીળો ગલગોટો,Pilo Galgoto,গাঁদা,Ganda,হলুদ গাঁদা,Holud Ganda,ଗେଣ୍ଡୁ,Gendu,ହଳଦିଆ ଗେଣ୍ଡୁ,Haladia Gendu,Tagetes L. spp.,Marigold,Œillet d'Inde; Rose d'Inde
087,Love for the divine,गुलाब,Gulab,गुल,Gul,గులాబీ,Gulabi,రోజా,Roja,ரோஜா,Roja,ரோஜாப்பூ,Rojappoo,ಗುಲಾಬಿ,Gulabi,ಗುಲಾಬಿ ಹೂ,Gulabi Hoo,റോസാപ്പൂവ്,Rosaappoovu,റോസ്,Rose,गुलाब,Gulab,लाल गुलाब,Lal Gulab,ગુલાબ,Gulab,લાલ ગુલાબ,Lal Gulab,গোলাপ,Golap,লাল গোলাপ,Lal Golap,ଗୋଲାପ,Golapa,ନାଲି ଗୋଲାପ,Nali Golapa,Rosa L.,Rose,Rosier; Rose
396,Energy turned towards the divine,मेंहदी,Mehendi,हीना,Heena,గోరింటాకు,Gorintaku,గోరింట,Gorinta,மருதாணி,Maruthani,மயிலாஞ்சி,Mayilanchi,ಗೋರಂಟಿ,Goranti,ಮದರಂಗಿ,Madarangi,മൈലാഞ്ചി,Mailanchi,മൈലാഞ്ചി ചെടി,Mailanchi Cheti,मेहंदी,Mehendi,हीना,Heena,મહેંદી,Mehendi,હીના,Heena,মেহেদী,Mehendi,মেহেন্দি,Mehendi,ମେହେନ୍ଦି,Mehendi,ମଞ୍ଜୁଆଟି,Manjuati,Lawsonia inermis L.,Mignonette tree; Henna,Henné
403,Courage,मदार,Madar,आक,Aak,జిల్లేడు,Jilledu,తెల్ల జిల్లేడు,Tella Jilledu,எருக்கு,Erukku,வெள்ளெருக்கு,Vellerukku,ಎಕ್ಕ,Ekke,ಬಿಳಿ ಎಕ್ಕ,Bili Ekke,എരിക്ക്,Erikku,വെള്ളെരിക്ക്,Vellerikku,रुई,Rui,मंदार,Mandar,આંકડો,Ankdo,સફેદ આંકડો,Safed Ankdo,আকন্দ,Akanda,সাদা আকন্দ,Shada Akanda,ଅରଖ,Arakha,ଧଳା ଅରଖ,Dhala Arakha,Calotropis gigantea (L.) Ait. f.,Crown flower; Giant milkweed,Faux kapokier; Arbre à soie
283,Progress,सदाबहार,Sadabahar,सदाफुली,Sadafuli,బిళ్ల గన్నేరు,Billa Ganneru,బిళ్ల పువ్వు,Billa Puvvu,நித்தியகல்யாணி,Nithyakalyani,சுடுகாட்டு மல்லிகை,Sudukaattu Malligai,ನಿತ್ಯಪುಷ್ಪ,Nityapushpa,ಕಾಸಿಕನಗಲೆ,Kasikanagale,ശവംനാറി,Shavamnaari,നിത്യകല്യാണി,Nithyakalyani,सदाफुली,Sadafuli,सदागुलाब,Sadagulab,બારમાસી,Barmasi,સદાફૂલી,Sadafuli,নয়নতারা,Nayan Tara,নয়ন তারা,Nayan Tara,ସଦାବିହାରୀ,Sadabihari,ନୟନତାରା,Nayanatara,Catharanthus roseus (L.) G. Don. [Vincarosea L],Madagascar periwinkle,Pervenche de Madagascar
024,Protection,कागज़ का फूल,Kagaz ka Phool,बोगनवेलिया,Bougainvillea,కాగితం పువ్వు,Kagitham Puvvu,బొగైన్విల్లా,Bougainvillea,காகிதப்பூ,Kagidappoo,போகன்வில்லா,Bougainvillea,ಕಾಗದದ ಹೂವು,Kagadada Huavu,ಬೊಗೈನ್ವಿಲ್ಲಾ,Bougainvillea,കടലാസുപൂവ്,Kadalassupoovu,ബോഗൻവില്ല,Bougainvillea,कागदी फूल,Kagadi Phool,बोगनवेल,Booganvel,બાગાનવેલ,Baganvel,બોગનવેલ,Boganvel,কাগজ ফুল,Kagoj Phool,বোগানভিলিয়া,Bougainvillea,କାଗଜ ଫୁଲ,Kagaja Phula,ବୋଗନଭିଲିଆ,Bougainvillea,Bougainvillea Comm. ex Juss.,Bougainvillea,Bougainvillée; Bougainvillier
078,Friendship with the divine,केला फूल,Kela Phool,सर्वजया,Sarvajaya,మేక మేత,Meka Meta,కామకక్షి,Kamakakshi,கல்வாழை,Kalvazhai,பூவாழை,Poovazhai,ಕಾಡುಬಾಳೆ,Kadubale,ಕಲಬಾಳೆ,Kalabale,കാട്ടുവാഴ,Kaattuvaazha,കാന്തവാഴ,Kanthavaazha,देवकेळ,Devkel,कर्दल,Kardal,દેવકેળ,Devkel,કરદળ,Kardal,সর্বজয়া,Sarvajaya,কলাবতী,Kalabati,ସର୍ବଜୟା,Sarvajaya,କଦଳୀବନ,Kadalibana,Canna indica L.,Indian shot; Canna lily,Balisier des Indes; Canna
438,No quarrels,कलिहारी,Kalihari,उलटचंडाल,Ulatchandal,నాగసేసము,Nagasesamu,అగ్నిశిఖ,Agnisikha,செங்காந்தள்,Sengandhal,காந்தள் பூ,Kandhal Poo,ಗೌರಿಹೂವು,Gaurihuavu,ಅಗ್ನಿಶಿಖೆ,Agnishikhe,മേത്തോന്നി,Metthonni,അഗ്നിശിഖ,Agnishikha,खड्यानाग,Khadyanag,कल्लावी,Kallavi,દૂધિયો વછનાગ,Dudhiyo Vachnag,અગ્નિશિખા,Agnishikha,উলটচণ্ডাল,Ulatchandal,অগ্নিশিখা,Agnishikha,ଅଗ୍ନିଶିଖା,Agnishikha,ଗର୍ଭନାଗ,Garbhanag,Gloriosa superba L.,Glory lily; Flame lily,Lys glorieux; Glorieuse
636,Beginning of the supramental realisation,ढाक,Dhak,पलाश,Palash,మోదుగ,Moduga,మోదుగు,Modugu,முருக்கு,Murukku,பலாசு,Palasu,ಮುತ್ತುಗ,Muthuga,ಪಲಾಶ,Palasha,പ്ലാശ്,Plaash,ചമത,Chamatha,पळस,Palas,केसुडा,Kesuda,ખાખરો,Khakhro,કેસુડો,Kesudo,পলাশ,Palash,পলাশ ফুল,Palash Phool,ପଳାଶ,Palasha,କେଂଶୁ,Kensu,Butea monosperma (Lam.) Taub. [B. frondosaRoxb. ex Willd.],Flame of the forest,Arbre à palas; Flamme de la forêt
244,Patience,मौलसिरी,Maulsari,बकुल,Bakul,పొగడ,Pogada,వకులము,Vakulamu,மகிழம்பூ,Magizhampoo,மகிழ்,Magizh,ರಂಜಲು,Ranjalu,ಪಗಡೆಮರ,Pagademara,ഇലഞ്ഞി,Ilanji,ഇലഞ്ഞിമരം,Ilanjimaram,बकुळ,Bakul,बकुळी,Bakuli,બોરસલ્લી,Borsalli,બકુળ,Bakul,বকুল,Bakul,বকুল ফুল,Bakul Phool,ବକୁଳ,Bakula,ବଉଳ,Baula,Mimusops elengi L.,Spanish cherry; Bullet wood,Bakul; Coing de la Chine
468,Solid steadfastness in the material consciousness,सेमल,Semal,शाल्मली,Shalmali,బూరుగు,Burugu,కంటి బూరుగు,Kanti Burugu,இலவம்,Ilavam,செவ்விலவம்,Sevvilavam,ಬುರುಗದ ಮರ,Burugada Mara,ಸಣ್ಣ ಬುರುಗ,Sanna Buruga,ഇലവ്,Ilavu,മുള്ളിലവ്,Mullilavu,सावर,Sawar,काटे-सावर,Kate-Sawar,સીમળો,Simlo,કાંટે સીમળો,Kante Simlo,শিমুল,Shimul,রক্ত ശিমুল,Rakta Shimul,ଶିମିଳି,Simili,ରକ୍ତ ଶିମିଳି,Rakta Simili,Bombax ceiba L.,Red silk-cotton tree,Kapokier rouge; Arbre à kapok
450,Mastery,गुलाब जामुन,Gulab Jamun,जामुन,Jamun,గులాబీ జామును,Gulabi Jamunu,నేరేడు,Neredu,நாவல்,Naval,நாவல் மரம்,Naval Maram,ಪನ್ನೇರಳೆ,Pannerale,ನೇರಳೆ,Nerale,റോസാപ്പഴം,Rosaappazham,ഞാവൽ,Njaval,गुलाब जांब,Gulab Jamb,जांभूळ,Jambhul,ગુલાબ જાંબુ,Gulab Jambu,જાંબુ,Jambu,গোলাপ জাম,Golap Jam,জাম,Jam,ଗୋଲାପ ଜାମୁ,Golapa Jamu,ଜାମୁ,Jamu,Syzygium jambos (L.) Alston.,Rose apple; Malabar plum,Jambosier; Pomme rose
081,Intimacy with the divine,जरुल,Jarul,सावनी,Sawani,సొగసు చెట్టు,Sogasu Chettu,వరుగుడు,Varugudu,பூமருது,Poomaruthu,கடுமை,Kadumai,ಹೊಳೆ ದಾಸವಾಳ,Hole Dasavala,ಮರುಳು ಸಿದ್ದಿ,Marulu Siddhi,മണിമരുതു്,Manimaruthu,പൂമരുതു്,Poomaruthu,तामण,Taman,जारूळ,Jarul,તામણ,Taman,મોટો તામણ,Moto Taman,জারুল,Jarul,বেগুনি জারুল,Beguni Jarul,ପାଟୁଳି,Patuli,ଜାରୁଳ,Jarula,Lagerstroemia indica L.,Queen's crape myrtle,Pervenche d'été; Lilas des Indes
018,Solace,गुलाबांस,Gulabans,कृष्णकली,Krishnakali,చంద్రకాంత,Chandrakanta,బద్రకాక్షి,Badrakakshi,அந்திமந்தாரை,Andhimandharai,பத்தராச்சி,Patharachi,ಸಂಜೆಮಲ್ಲಿಗೆ,Sanjemallige,ಸಂಜೆ ಹೂ,Sanje Hoo,അന്തിമന്ദാരം,Andhimandaram,നാലുമണിപ്പൂവ്,Nalumanippoovu,सायंकाळी,Sayankali,गुलबक्षी,Gulbakshi,ગુલબાસ,Gulbas,ગુલબક્ષી,Gulbakshi,সন্ধ্যামালতী,Sandhyamalati,কৃষ্ণকলি,Krishnakali,ରଙ୍ଗଣୀ,Rangani,ସନ୍ଧ୍ୟା ମାଳତୀ,Sandhya Malati,Mirabilis jalapa L.,Marvel of Peru; Four-o'clock,Belle-de-nuit
191,Tapasya,धतूरा,Dhatura,शिवप्रिय,Shivpriya,ఉమ్మేత్త,Ummettha,నల్ల ఉమ్మేత్త,Nalla Ummettha,ஊமத்தை,Oomatthai,கருஊமத்தை,Karoomatthai,ಉಮ್ಮತ್ತಿ,Ummatthi,ನcle ಉಮ್ಮತ್ತಿ,Nalla Ummatthi,ഉമ്മം,Ummam,കറുത്ത ഉമ്മം,Karutha Ummam,धोत्रा,Dhotra,काळा धोत्रा,Kala Dhotra,ધતુરો,Dhaturo,કાળો ધતુરો,Kalo Dhaturo,ধুতুরা,Dhutura,কালো ধুতুরা,Kalo Dhutura,ଦୁଦୁରା,Dudura,କଳା ଦୁଦୁରା,Kala Dudura,Datura L.,Thorn apple; Datura,Stramoine; Datura
394,Specialised detailed energy,गुलदाउदी,Guldaudi,सेवंती,Sevanti,చామంతి,Chamanti,చేమంతి,Chemanti,சாமந்தி,Samandhi,செவ்வந்தி,Sevvanthi,ಶಾವಂತಿಗೆ,Shavantige,ಸೇವಂತಿಗೆ,Sevantige,ജമന്തി,Jamanthi,മഞ്ഞ ജമന്തി,Manja Jamanthi,शेवंती,Shevanti,पिवळी शेवंती,Pivli Shevanti,ગુલદાઉદી,Guldaudi,સેવંતી,Sevanti,চন্দ্রমল্লিকা,Chandramallika,চন্দ্র মল্লিকা,Chandra Mallika,ସେବତୀ,Sebati,ଚନ୍ଦ୍ରମଲ୍ଲିକା,Chandramallika,Chrysanthemum L. spp.,Chrysanthemum,Chrysanthème
464,Consciousness turned towards the light,सूरजमुखी,Surajmukhi,सूर्यकांति,Suryakanti,పొద్దుతిరుగుడు,Podduthirugudu,ఆదిత్య భక్తి,Aditya Bhakti,சூரியகாந்தி,Sooriyagandhi,சூரியப்பூ,Sooriyappoo,ಸೂರ್ಯಕಾಂತಿ,Suryakanthi,ಸೂರ್ಯ ಹೂವು,Surya Huavu,സൂര്യകാന്തി,Sooryakanthi,സൂര്യപ്പൂവ്,Sooryappoovu,सूर्यफूल,Suryaphul,सूर्यकमळ,Suryakamal,સૂરજમુખી,Surajmukhi,સૂર્યમુખી,Suryamukhi,সূর্যমুখী,Suryamukhi,সূর্যমুখী ফুল,Suryamukhi Phool,ସୂର୍ଯ୍ୟମୁଖୀ,Suryamukhi,ସୂର୍ଯ୍ୟ ଫୁଲ,Surya Phula,Helianthus L. spp.,Sunflower,Tournesol; Grand soleil
014,Sri Aurobindo's compassion,नौबजी,Naubaji,नौ बजे,Nau Baje,తొమ్మిది గంటల పువ్వు,Tommidi Gantala Puvvu,వరాల పువ్వు,Varala Puvvu,பத்து மணிப்பூ,Pathu Manippoo,பருப்புக்கீரை பூ,Paruppukkeerai Poo,ಹತ್ತು ಗಂಟೆ ಹೂವು,Hattu Gante Huavu,ಸಂಜೆ ಗಂಟೆ,Sanje Gante,പത്തു മണിപ്പൂവ്,Pathu Manippoovu,സമയപ്പൂവ്,Samayappoovu,दुपारी,Dupari,रेशम फूल,Resham Phool,નવ વાગિયા,Nav Vagiya,દુપારી,Dupari,সময় ফুল,Samay Phool,দুপুরমণি,Dupurmoni,ଓଫିସ ଫୁଲ,Office Phula,ବଲମ ଫୁଲ,Balam Phula,Portulaca grandiflora Hook.,Rose moss; Moss-rose purslane,Chevalier-de-onze-heures; Pourpier
470,Light,रात की रानी,Raat ki Rani,,,రాత్రి రాణి,Ratri Rani,సంపంగి తీగ,Sampangi Teega,இரவு ராணி,Iravu Rani,இரவு மல்லி,Iravu Malli,ರಾತ್ರಿ ರಾಣಿ,Ratri Rani,ರಾತ್ರಿ ಮಲ್ಲಿಗೆ,Ratri Mallige,രാത്രിറാണി,Rathrirani,രാത്രി മുല്ല,Rathri Mulla,रात्राराणी,Ratrarani,रातराणी,Ratrani,રાત્રાણી,Ratrani,રાત્રિ રાણી,Ratri Rani,হাসনাহেনা,Hasnahena,রাত্রিরানী,Rattrani,ରାତିରାଣୀ,Ratirani,ରାତ୍ରିରାଣୀ,Ratrirani,Cestrum diurnum L. non Weston.,Night-blooming jasmine,Galant de nuit; Jasmin de nuit
126,Psychic aspiration,रुक्मिणी,Rukmini,रंगन,Rangan,రామబాణము,Ramabanamu,కథలి,Kathali,இட்லிப்பூ,Idlippoo,வெட்சி,Vetchi,ಕಿಸುಗರೆ,Kisugare,ಕಿಪ್ಲಿಂಗ,Kplinga,തെറ്റി,Thetti,ചെത്തി,Chethi,पिरंगी,Pirangi,पेणगूळ,Pendgul,રૂકમિણી,Rukmini,પેન્ડગુલ,Pendgul,রঙ্গন,Rangan,লাল রঙ্গন,Lal Rangan,ରଙ୍ଗଣୀ,Rangani,ରଙ୍ଗନ,Rangan,Ixora chinensis Lam.,Jungle geranium,Hortensia du Bengale; Ixora
005,Presence,चित्रक,Chitrak,सफ़ेद चित्रक,Safed Chitrak,చిత్రమూలము,Chitramoolamu,తెల్ల చిత్రమూలము,Tella Chitramoolamu,கொடிவேலி,Kodivelai,வெண் கொடிவேலி,Ven Kodivelai,ಚಿತ್ರಮೂಲ,Chitramoola,ಬಿಳಿ ಚಿತ್ರಮೂಲ,Bili Chitramoola,കൊടുവേലി,Koduveli,വെള്ളക്കൊടുവേലി,Vellakkoduveli,चित्रा,Chitra,पांढरा चित्रक,Pandhra Chitrak,ચિત્રક,Chitrak,સફેદ ચિત્રક,Safed Chitrak,সাদা চিতক,Shada Chitak,চিত্রক,Chitrak,ଧଳା ଚିତା,Dhala Chita,ଚିତ୍ରକ,Chitrak,Plumbago auriculata Lam. Alba',White leadwort,Dentelaire de Ceylan; Plumbago
