id,english_common_name,flower_count,flower_ids,botanical_names,mothers_names
048,Blue snakeweed,1,755,Stachytarpheta jamaicensis (L.) Vahl.,Spiritual ascension of the vital
049,Bluewings,1,895,Torenia fournieri Lind. ex E. Fourn.,Krishna's play
050,Boat lily,1,004,Tradescantia spathacea Sw. \Rhoeo spathacea (Swartz) Steam.],Divine presence
051,Bottlebrush,1,850,Callistemon R. Br. spp.,Joy of vegetal nature in answer to the new light
052,Bottlebrush bush,1,850,Callistemon R. Br. spp.,Joy of vegetal nature in answer to the new light
053,Bougainvillea,11,024; 025; 026; 027; 028; 029; 030; 031; 032; 033; 034,Bougainvillea Comm. ex Juss.; Bougainvillea Comm. ex Juss. 'Mahara'; Bougainvillea Comm. ex Juss. 'Trinidad'; Bougainvillea Comm. ex Juss. 'Formosa'; Bougainvillea Comm. ex Juss. 'Blondie'; Bougainvillea Comm. ex Juss. 'Mary Palmer',Protection; Attempt at protection; Discreet protection; Psychic protection; Emotional protection; Vital protection; Physical protection; Triple protection; Integral protection; Manifold protection; Protection of the gods
054,Bouncing Bet,1,143,Saponaria officinalis L.,Right use of the granted grace
055,Bower plant,1,768,Pandorea jasminoides (Lindl.) Schum.,Opening of the emotional centre to the light
056,Bowstring hemp,3,404; 655; 656,Calotropis gigantea (L.) Ait. f.; Sansevieria Thunb. spp.,Integral courage; Power of spirituality; Joy of spirituality
057,Brazilian gloxinia,1,186,Sinningia speciosa (Lodd.) Hiern.,Broadening of the being
058,Bridal bouquet,1,880,Parana paniculata Roxb.,Ether
059,Bridal creeper,1,883,Parana volubilis Burm. f.,Water
060,Brinjal,1,409,Solanum melongena L.,Fearlessness in the vital
061,Brisbane lily,1,877,Proiphys amboinensis (L.) Herb. [Eurycles sylvestris Salisb. ex Schult. & Schult. f.],Silver
062,Broad path,1,510,Alternanthera Forsk. spp.,Integral immortality
063,Burning bush,1,776,Combretum fructicosa (Loefl.) Stuwz.,Organisation of action in life
064,Bush violet,1,735,Browallia L. sp.,Consent of the vital
065,Butterfly bush,2,531; 830,Buddleja davidii Franch.; Clerodendrum ugandense Pram.,Refinement; Repose
066,Butterfly orchid,1,068,Epidendrum XObrienianum Rolfe.,Attachment of the cells to the divine
067,Butterfly tree,1,743,Bauhinia purpurea L. not hort.,Stability in the higher vital
068,Cactus,1,561,Cactus Juss. spp.,Riches
069,Calabur,1,857,Muntingia calabura L.,Primitive succulence
070,Calico flower,1,460,Aristolochia littoralis L. Parodi. [A. elegans M.T. Mast.],Inspiration
071,Caltrop,1,866,Tribulus terrestris L.,First mental awakening in Matter
072,Campeachy,1,863,Haematoxylum campechianum L.,Fairy freshness
073,Candytuft,1,318,Iberis L. spp.,Equanimity
074,Canna lily,8,622; 623; 624; 626; 628; 629; 630; 631,Canna Xgeneralis L.H. Bail.,Physical centre; Connection between the supermind and the physical; Connection between the light and the physical; Vital centre; Psychic centre; Illumined mind centre; Intuitive mind centre; Future supramental centre
075,Cannonball tree,1,559,Couroupita guianensis Aubl.,Unselfish prosperity
076,Canterbury bells,2,332; 769,Campanula medium L.; Gloxinia perennis (L.) Druce.,Joy's call; Broadening of the emotional centre
077,Cape leadwort,2,005; 898,Plumbago auriculata Lam. Alba'; Plumbago auriculata Lam.,Presence; Krishna's ananda
078,Caper tree,1,684,Crataeva adansonii DC. ssp. odora [C. nurvala Ham.; C. religiosa Auct. non Forst.],Work of the enlightened mind
079,Capsicum,1,797,Capsicum annuum L. var. annuum,A whipping
080,Carambola tree,1,272,Averrhoa carambola L.,Organised team-work
081,Caricature plant,1,788,Graptophyllum pictum (L.) Griff.,Vital impulses
082,Carnation,1,276,Dianthus caryophyllus L.,Collaboration
083,Cat's claw,1,633,Macfadyena unguis-cati (L.) A. Gentry.,Supramental influence
084,Cat's whiskers,2,650; 651,Orthosiphon stamineus Benth.,Aspiration for spiritual intensity; Spiritual intensity
085,Catechu,1,785,Areca catechu L.,Steadfast-vitality
086,Cattleya orchid,1,072,Asystasia dalzelliana Sant. [A. violacea Dalzel. ex C.B. Clarke.],Aspiration for trust in the divine
087,Cayenne jasmine,2,283; 289,Catharanthus roseus (L.) G. Don. [Vincarosea L]; Catharanthus roseus (L.) G. Don. 'Albus' [Vinca rosea L.],Progress; Integral progress
088,Cayenne pepper,1,797,Capsicum annuum L. var. annuum,A whipping
089,Chaff-flower,1,510,Alternanthera Forsk. spp.,Integral immortality
090,Chalice vine,1,421,Solandra maxima (Sesse & Moc.) P. Green.,Absolute truthfulness
091,Champaca,1,013,Michelia alba DeCondolle.,Divine smile
092,Chenille plant,1,224,Acalypha hispida Burm. f.,Physical continuity
093,Cherry-pie,1,733,Heliotropium arborescens L.,Vital consecration
094,Chili pepper,1,797,Capsicum annuum L. var. annuum,A whipping
095,China aster,5,293; 295; 297; 298; 300,Callistephus chinensis (L.) Nees.,Transparency; Supramentalised psychic activity; Vital transparency; Supramentalised vital transparency; Integral transparency
096,Chinese forget-me-not 'my sky blue five-lobed salverform flowers in terminal cymes,1,164,Cynoglossum amabile Stapf. &J.R. Drumm.,Subconscient remembrance
097,Chinese hibiscus,32,569; 575; 576; 577; 578; 586; 587; 588; 589; 592; 593; 596; 599; 600; 601; 602; 604; 605; 606; 607; 608; 609; 610; 611; 612; 613; 614; 615; 616; 617; 618; 620,Hibiscus rosa-sinensis L. 'Daffodil'; Hibiscus rosa-sinensis L.; Hibiscus rosa-sinensis L. 'Grace Goo'; Hibiscus rosa-sinensis L. 'Splash'; Hibiscus rosa-sinensis L. Alipore Beauty'; Hibiscus rosa-sinensis L. 'Waimaea'; Hibiscus rosa-sinensis L. 'Dream'; Hibiscus rosa-sinensis L. 'Sebactini'; Hibiscus rosa-sinensis L. 'Sweetheart'; Hibiscus rosa-sinensis L. 'White Pink Centre',Supramental consciousness; Beauty of tomorrow; Beauty of tomorrow manifesting the divine; Power of spiritual beauty; Victorious beauty; Concentration of the new creation (concentration of auroville); Progress of the new creation (progress of auroville); Manifold power of the new creation (manifold power of auroville); Firmness of the new creation; Power of consciousness; Consciousness one with the divine consciousness; Faith; Power of the psychic consciousness; Psychic power in existence; Mentalised power; Power in the converted mind; Ananda in the physical; Sweetness of power surrendered to the divine (sweetness of auroville); Light of purified power; Power of integral purity; Power of harmony; Aesthetic power; Dynamic power; Controlled power; Power of action; Power of effort (effort of auroville); Power of perseverance (continued perseverance and action); Power of progress; Power to progress; Power of success (success of auroville); Power of realisation; Power in the service of the future
098,Chinese lantern,2,036; 037,Abutilon Xhybridum hort.; Abutilon indicum (L.) Sweet.,Promise; Mental promise
099,Chinese lavender,1,281,Crossostephium artemisioides Less.,Thirst to understand
100,Chinese parsley,1,534,Coriandrum sativum L.,Delicacy
101,Chinese rice flower,1,705,Aglaia odorata Lour.,Mental suggestions of organisation
102,Chinese spinach,1,406,Amaranthus tricolor L. 'Molten Fire',Bravery
103,Chinese wisteria,1,529,Wisteria sinensis (Sims) Sweet.,Poetic ecstasy
104,Chinese-lantern,1,859,Physalis alkekengi L.,Sun-drop
105,Christ thorn,1,190,Euphorbia milii Desmoul.,Concentration
106,Christ vine,1,880,Parana paniculata Roxb.,Ether
107,Christmas candle,1,715,Senna alata (L.) Roxb. [Cassia alata L.j,Idea
108,Chrysanthemum,1,394,Chrysanthemum L. spp.,Specialised detailed energy
109,Climbing ilang-ilang,1,673,Anabotrys hexapetalus (L. f.) Bhand. [A odoratissimus R. Br.],Reason
110,Clove pink,1,276,Dianthus caryophyllus L.,Collaboration
111,Clover,1,845,Trifolium L. spp.,Kindness of nature
112,Coconut,1,855,Cocos nucifera L.,Multitude
113,Coffee,1,111,Coffea. L.,Perfect path
114,Coleus,1,754,Solenostemon scutellarioides (L.) Codd. [Coleus Xhybridus Voss.],Spiritual awakening of the vital
115,Common allamanda,1,496,Allamanda cathartics. L.,Victory
116,Common basil,1,208,Ocimum basilicum L.,Discipline
117,Common brier,1,106,Rosa caniya L.,Psychic soaring of nature
118,Common broom,1,713,Cytisus scoparius (L.) Link.,Inventions
119,Common camellia,1,512,Camellia japonica L.,Static beauty
120,Common cockscomb,2,411; 415,Celosia argentea var. cristata (L.) Kuntze. Childsii Group,Boldness; Physical boldness
121,Common cockscomb Dark red floral heads,1,414,Celosia argentea var. cristata (L.) Kuntze. Childsii Group,Vital boldness
122,Common cockscomb Green floral heads,1,412,Celosia argentea var. cristata (L.) Kuntze. Childsii Group,Spontaneous boldness
123,Common cockscomb Yellow floral heads,1,413,Celosia argentea var. cristata (L.) Kuntze. Childsii Group,Mental boldness
124,Common foxglove,1,214,Digitalis L.,Regularity
125,Common garden verbena,3,215; 217; 220,Verbena Xhybrida Groenl. & Ruempl.,Thoroughness; Vital thoroughness; Artistic thoroughness
126,Common grape vine,1,006,Vitis vinifera L.,Divine ananda
127,Common hyacinth,1,518,Hyacinthus orientalis L.,Pride of beauty
128,Common laburnum,1,046,Laburnum anagyroides Medic.,Descent of the light
129,Common red ixora,1,129,Ixora javanica (Blume) DC. [I. singaporensis hort.],Aspiration in the physical for the supramental light
130,Common zinnia,5,228; 230; 233; 234; 238,Zinnia elegans Jacq.,Victorious endurance; Joyful endurance; Psychic endurance; Mental endurance; Integral endurance
131,Confederate rose mallow,2,566; 579,Hibiscus mutabilis L.,Divine grace; Victorious love
132,Copperleaf,3,222; 223; 225,Acalypha wilkesiana Muell. Arg. 'Godseffiana'; Acalypha wilkesiana Muell. Arg.; Acalypha godseffiana hort. Sander ex Mast.,Attempt towards continuity; Vital continuity; Material continuity
133,Coral plant,1,867,Jatropha multifida L.,First appearance of the psychic in matter
134,Coriander,1,534,Coriandrum sativum L.,Delicacy
135,Cotton,1,876,Gossypium L. spp.,Material abundance
136,Cotton rose,2,566; 579,Hibiscus mutabilis L.,Divine grace; Victorious love
137,Country gooseberry,1,201,Atalantia monophylla Correa.,Absence of desire
138,Cowslip creeper,1,786,Pergularia odoratissima Sm.,Vital plenitude
139,Crane flower,1,643,Strelitzia reginae Banks ex Dryand.,Supramental bird
140,Crape gardenia,3,698; 699; 700,Tabernaemontana divaricata (L.) R. Br. ex Roem. & Schult.; Tabernaemontana divaricata (L.) R. Br. ex Roem. & Schult. 'Flore-pleno',Mental purity; Integral mental purity; Perfect mental purity
141,Crape jasmine,3,698; 699; 700,Tabernaemontana divaricata (L.) R. Br. ex Roem. & Schult.; Tabernaemontana divaricata (L.) R. Br. ex Roem. & Schult. 'Flore-pleno',Mental purity; Integral mental purity; Perfect mental purity
142,Crape myrtle,1,083,Lagerstroemia indica L.,Intimacy with the divine in the vital
143,Creeping daisy,2,243; 313,Wedelia Jacq. spp.; Vittadinia cuneata DC. [V. australis hort.],Detailed perseverance; Integral simplicity
144,Crinum lily,2,250; 320,Crinum L.; Crinum L. sp.,Disinterested work done for the divine; Joy of integral peace
145,Croton,1,783,Codiaeum variegatum (L.) Bl. var. pictum (Lodd.) Muell. Arg.,Power to reject adverse suggestions
146,Crown beauty,1,479,Hymenocallis Salisb. spp.,Alchemy
147,Crown of thorns,1,190,Euphorbia milii Desmoul.,Concentration
148,Cup and saucer,1,332,Campanula medium L.,Joy's call
149,Cup and saucer plant,1,710,Holmskioldia sanguinea Retz.,Physical curiosity
150,Curtain creeper,1,123,Vernonia. eleagnaefolia DC.,Aspiration for the divine consciousness
151,Daffodil,1,516,Narcissus L. spp.,Power of beauty
152,Dahlberg daisy,1,692,Thymophylla tenuiloba (DC.) Small. [Dysodia tenuiloba (DC.) B.L. Robinson.],Mental simplicity
153,Dahlia,11,053; 541; 543; 544; 545; 546; 547; 791; 792; 793; 794,Dahlia Cav.; Dahlia Cav. spp.'; Dahlia Cav. spp.,Superhumanity; Aristocracy; Dignity; Psychic dignity; Supramentalised mental dignity; Dignity of the emotions; Dignity in the physical; Pride; Mental pride; Vital pride; Vanity
154,Dendrobium orchid,1,070,Hedera L. spp.,Lasting attachment
155,Devil's weed,1,866,Tribulus terrestris L.,First mental awakening in Matter
156,Dhak,1,636,Butea monosperma (Lam.) Taub. [B. frondosaRoxb. ex Willd.],Beginning of the supramental realisation
157,Divi-divi,1,452,Caesalpinia coriaria (Jacq.) Willd.,Intuitive knowledge
158,Dog brier,1,106,Rosa caniya L.,Psychic soaring of nature
159,Dog rose,1,106,Rosa caniya L.,Psychic soaring of nature
160,Dropseed,1,315,Agrostis nebulosa Boiss. & Reut. [Sporobolus capillaris Arn.],Humility
161,Drummond phlox,2,259; 263,Phlox drummondii Hook.,Physical skill in work; Radiating skill in work
162,Dutch hyacinth,1,518,Hyacinthus orientalis L.,Pride of beauty
163,Dutchman's pipe,1,461,Aristolochia ringens Vahl. non Link & Otto.,Lasting inspiration
164,East Indian lotus,2,001; 002,Nelumbo nucifera Gaertn. 'Alba'; Nelumbo nucifera Gaertn.,Aditi - the divine consciousness; Avatar - the supreme manifest on earth in a body
165,East Indian rosebay,3,698; 699; 700,Tabernaemontana divaricata (L.) R. Br. ex Roem. & Schult.; Tabernaemontana divaricata (L.) R. Br. ex Roem. & Schult. 'Flore-pleno',Mental purity; Integral mental purity; Perfect mental purity
166,Easter lily vine,1,202,Beaumontia jerdoniana Wight.,Unselfishness
167,Edelweiss,1,653,Leontopodium alpinum Cass.,Spiritual beauty
168,Egg-plant,1,409,Solanum melongena L.,Fearlessness in the vital
169,Egyptian rose,1,023,Scabiosa atropurpurea L.,Blessings on the material world
170,Egyptian star-cluster,4,472; 473; 474; 475,Pentas lanceolata (Forssk.) Deflers.; Pentas lanceolata forssk.) Deflers.; Pentas lanceolata (forssk.) Deflers.,Movements in the light; Light in the vital movements; Psychic light in the physical movements; Psychic light in the material movements
171,Elder,1,538,Sambucus L.,Charm
172,Elderberry,1,538,Sambucus L.,Charm
173,Emerald fern,1,425,Asparagus densiflorus (Kunth.) Jessop. 'Sprengeri',Spiritual speech
174,Empress candle plant,1,715,Senna alata (L.) Roxb. [Cassia alata L.j,Idea
175,English wallflower,1,331,Erysimum cheiri (L.) [Cheiranthus cheiri L.],Optimism
176,Eucalyptus,1,203,Eucalyptus L'Herit. spp.,Abolition of the ego
177,European grape,1,006,Vitis vinifera L.,Divine ananda
178,Fairy lily,1,131,Zephyranthes Herb.,Psychic prayer
179,Fairy rose,1,097,Rosa chinensis Jacq. 'Minima,Detailed surrender
180,False bird of paradise,1,864,Heliconia L. sp.,Bird of paradise
181,False jalap,4,018; 019; 020; 021,Mirabilis jalapa L.,Solace; Solace in the mind; Solace in the vital; Integral solace
182,Fameflower,1,789,Talinum paniculatum (Jacq.) Gaertn.,Vital fantasy
183,Farewell to spring,1,161,Clarkia unguiculata Lindl. 'Rosea plena,Glad remembrance
184,Feathered amaranth,7,434; 435; 501; 502; 503; 504; 753,Celosia argentea L. Plumosa Group; Celosia argentea var. cristata (L.) Kuntze Plumosa Group,Abundant expression; Joyful expression; Attempt-towards immortality; Aspiration for immortality; Vital aspiration for immortality; Physical aspiration for immortality; Spiritual aspiration in the vital
185,Fiddle-wood,1,648,Citharexylum L. spp.,Spiritual ascension
186,Finger-grass,1,113,Chloris barbata Sw.,Repentance
187,Fire-dragon,2,222; 223,Acalypha wilkesiana Muell. Arg. 'Godseffiana'; Acalypha wilkesiana Muell. Arg.,Attempt towards continuity; Vital continuity
188,Fire-dragon Long thin hard erect dull red catkins,1,225,Acalypha godseffiana hort. Sander ex Mast.,Material continuity
189,Firecracker flower,1,837,Crossandra infundibuliformis (L.) Nees.,Supramental light in the subconscient
190,Flag,1,515,Iris L.,Aristocracy of beauty
191,Flamboyant,1,494,Delonix regia (Bojer) Raf.,Realisation
192,Flame flower,1,642,Pyrostegia venusta (Ker-Gawl.) Miers.,Supramental rain
193,Flame of the forest,1,636,Butea monosperma (Lam.) Taub. [B. frondosaRoxb. ex Willd.],Beginning of the supramental realisation
194,Flame tree,1,494,Delonix regia (Bojer) Raf.,Realisation
195,Flame vine,1,642,Pyrostegia venusta (Ker-Gawl.) Miers.,Supramental rain
196,Flame violet,1,779,Episcia cupreata (Hook.) Hanst.,Will manifested in life
197,Flamingo flower,1,820,Anthurium andreanum Andre.,Mastery of sex
198,Fleur-de-lis,1,515,Iris L.,Aristocracy of beauty
199,Flora's paintbrush,1,445,Emilia sonchifolia (L.) Moench. [E. javanica (Burm. f.) Robinson.],Prudence
200,Florists' chrysanthemum,5,389; 390; 391; 392; 393,Dendranthema Xgrandiflorum Kitam. [Chrysanthemum Xmorifolium Ramat.],Life energy; Purified dynamic life energy; Supramentalised life energy; Life energy in the vital; Life energy in the material
201,Florists' gloxinia,3,186; 188; 349,Sinningia speciosa (Lodd.) Hiern.,Broadening of the being; Broadening of the most material vital; Balanced use of integral power
202,Florists' verbena,1,215,Verbena Xhybrida Groenl. & Ruempl.,Thoroughness
203,Flower in predominantly lavender shades,1,076,Asystasia gangetica (L.) Anderson. {A. coromandeliana Nees.],Vital trust in the divine
204,Flowering maple,2,036; 037,Abutilon Xhybridum hort.; Abutilon indicum (L.) Sweet.,Promise; Mental promise
205,Four-o'clock,4,018; 019; 020; 021,Mirabilis jalapa L.,Solace; Solace in the mind; Solace in the vital; Integral solace
206,Fragrant champaca,1,013,Michelia alba DeCondolle.,Divine smile
207,Frangipani,4,664; 665; 666; 667,Plumeria rubra L.; Plumeria rubra forma tricolor (Ruiz & Pav.) Woodson.; Plumeria obtusa L.,Psychological perfection; Psychological perfection on the way to fulfilment; Psychological perfection in matter; Integral psychological perfection
208,French marigold,1,401,Tagetes patula L.,Detailed plasticity
209,Garden balsam,4,357; 358; 362; 363,Impatiens bahamina L.; Impatiens balsamina L.,Generosity; Psychic generosity; Generosity in the physical; Manifold generosity
210,Garden gladiolus,10,177; 178; 179; 180; 181a; 181b; 182; 183; 184; 185,Gladiolus Xhortulanus L.H. Bailey.,Psychic receptivity; Receptivity of the supramentalised psychic; Mental receptivity; Emotional receptivity; Vital receptivity; Physical receptivity; Integral receptivity; Manifold receptivity; Supramentalised receptivity
211,Garden lupine,1,115,Lupinus L. spp.,Stages to the supreme
212,Garlic-vine,1,771,Mansoa alliacea (Lam.) A. Gentry. [Pseudocalymna alliaceum (Lam.) Sandw.],Collective emotions open to the divine
213,Geranium,1,654,Pelargonium L'Herit. spp.,Spiritual happiness
214,Gingelly,1,355,Sesamum indicum L.,Conciliation
215,Ginger lily,1,003,Hedychium J. G. Koenig.,Sachchidananda
216,Globe amaranth,5,505; 506; 507; 508; 509,Gomphrena globosa L.,Immortality; Vital immortality; Conscious vital immortality; Integral immortality; Supramental immortality
217,Glory bower,1,806,Clerodendrum philippinum Schauer. [C.fragrans (Vent.) R. Br.],Integrally equal basis in the physical
218,Glory tree,1,806,Clerodendrum philippinum Schauer. [C.fragrans (Vent.) R. Br.],Integrally equal basis in the physical
219,Gloxinia,1,186,Sinningia speciosa (Lodd.) Hiern.,Broadening of the being
220,Godetia,1,161,Clarkia unguiculata Lindl. 'Rosea plena,Glad remembrance
221,Golden everlasting,1,638,Helichrysum bracteatum (Vent.) Andrews.,Supramental immortality upon earth
222,Golden fleece,1,692,Thymophylla tenuiloba (DC.) Small. [Dysodia tenuiloba (DC.) B.L. Robinson.],Mental simplicity
223,Golden-shower tree,1,712,Cassia fistula L.,Imagination
224,Goldenrod,1,696,Solidago L. spp.,Mental sincerity
225,Good-luck plant,1,114,Cordyline terminalis (L.) Kunth.,Return
226,Gout plant,1,835,Jatropha podagarica Hook.,First response of the subconscient to the supramental action
227,Green ebony,1,734,Jacaranda Juss. spp.,Attempt at vital goodwill
228,Groundsel,1,443,Senecio L. sp.,Observation
229,Gum tree,1,203,Eucalyptus L'Herit. spp.,Abolition of the ego
230,Hawaiian good-luck plant,1,114,Cordyline terminalis (L.) Kunth.,Return
231,Hawaiian hibiscus,32,569; 575; 576; 577; 578; 586; 587; 588; 589; 592; 593; 596; 599; 600; 601; 602; 604; 605; 606; 607; 608; 609; 610; 611; 612; 613; 614; 615; 616; 617; 618; 620,Hibiscus rosa-sinensis L. 'Daffodil'; Hibiscus rosa-sinensis L.; Hibiscus rosa-sinensis L. 'Grace Goo'; Hibiscus rosa-sinensis L. 'Splash'; Hibiscus rosa-sinensis L. Alipore Beauty'; Hibiscus rosa-sinensis L. 'Waimaea'; Hibiscus rosa-sinensis L. 'Dream'; Hibiscus rosa-sinensis L. 'Sebactini'; Hibiscus rosa-sinensis L. 'Sweetheart'; Hibiscus rosa-sinensis L. 'White Pink Centre',Supramental consciousness; Beauty of tomorrow; Beauty of tomorrow manifesting the divine; Power of spiritual beauty; Victorious beauty; Concentration of the new creation (concentration of auroville); Progress of the new creation (progress of auroville); Manifold power of the new creation (manifold power of auroville); Firmness of the new creation; Power of consciousness; Consciousness one with the divine consciousness; Faith; Power of the psychic consciousness; Psychic power in existence; Mentalised power; Power in the converted mind; Ananda in the physical; Sweetness of power surrendered to the divine (sweetness of auroville); Light of purified power; Power of integral purity; Power of harmony; Aesthetic power; Dynamic power; Controlled power; Power of action; Power of effort (effort of auroville); Power of perseverance (continued perseverance and action); Power of progress; Power to progress; Power of success (success of auroville); Power of realisation; Power in the service of the future
232,Hawthorn,1,312,Crataegus L. spp.,Spring purity
233,Hearts ease,1,723,Viola Xwittrockiana Gams.,Integrally pure thoughts
234,Heliotrope,1,733,Heliotropium arborescens L.,Vital consecration
235,Henna,1,396,Lawsonia inermis L.,Energy turned towards the divine
236,Herald's trumpet,1,202,Beaumontia jerdoniana Wight.,Unselfishness
237,Holly,1,338,Ilex L.,Courageous goodwill
238,Hollyhock,11,145; 146; 147; 148; 149; 150; 151; 152; 153; 154; 155,Alcea rosea L.,Offering; Offering of all obscurities; Psychic offering; Offering of the emotions; Offering of the vital; Integral offering of the vital; Offering of the material vital; Offering of the most material vital; Offering of the physical; Combined offering of two parts of the being; Integral offering
239,Honey mesquite,1,720,Prosopis glandulosa Torr.,Logic in thought
240,Hoppers,1,861,Kalanchoe pinnata (Lam.) Pers.,Light in fairyland
241,Horse-tail creeper,1,883,Parana volubilis Burm. f.,Water
242,Hyacinth,1,518,Hyacinthus orientalis L.,Pride of beauty
243,Hydrangea,1,354,Hydrangea L. spp.,Collective harmony
244,Inch plant,1,751,Tradescantia zebrina hort. ex Bosse. [Zebrina pendula Schnizl.],Quiet strength in the vital
245,Indian almond,1,644,Terminalia catappa L.,Spiritual aspiration
246,Indian blanket,2,051; 052,Gaillardia pulchella Foug. cv. Lorenziana,Successful future; Successful future under the supramental influence
247,Indian cress,4,039; 040; 042a; 042b,Tropaeolum majus L.,Promise of realisation; Promise of realisation in the mind; Promise of realisation in the physical
248,Indian laburnum,1,712,Cassia fistula L.,Imagination
249,Indian laurel,1,805,Calophyllum inophyllum L.,Peace in the physical
250,Indian mallow,2,036; 037,Abutilon Xhybridum hort.; Abutilon indicum (L.) Sweet.,Promise; Mental promise
251,Indian mulberry,1,817,Morinda citrifolia L. non Bedd.,Peace in the sex centre
252,Indian oak,1,197,Tectona grandis L. f.,Renunciation of desires
253,Indian red water lily,1,553,Nymphaea rubra Roxb.,Wealth in the vital
254,Indian root,2,687; 688,Asclepias curassavica L.,Response of the mind to the supramental light; Response of the physical mind to the supramental light
255,Ironbark,1,203,Eucalyptus L'Herit. spp.,Abolition of the ego
256,Italian aster,2,291; 292,Aster amellus L.,Emotional sincerity; Sincerity in the vital
